Address_place,
Overall_count,607
Township_name,ДЗЕРЖИНСКОГО РАЙОНА ГОРОДА НОВОСИБИРСКА
Township_count,70
Precinct_nums_str,с № 1425 по 1494.
Precinct_nums,1425,1426,1427,1428,1429,1430,1431,1432,1433,1434,1435,1436,1437,1438,1439,1440,1441,1442,1443,1444,1445,1446,1447,1448,1449,1450,1451,1452,1453,1454,1455,1456,1457,1458,1459,1460,1461,1462,1463,1464,1465,1466,1467,1468,1469,1470,1471,1472,1473,1474,1475,1476,1477,1478,1479,1480,1481,1482,1483,1484,1485,1486,1487,1488,1489,1490,1491,1492,1493,1494
Precinct_number,1425
Precinct_place, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида», ул. Полякова, 1в 
Address_street, Авторская
Address_street, Аллейная
Address_street, Амбулаторная
Address_street, Антона Осташова
Address_street, Атлетическая
Address_street, Баскетбольная
Address_street, Благодатная
Address_street, Виктора Звонарева
Address_street, Гармоничная
Address_street, Георгия Чекиса
Address_street, Горнолыжная
Address_street, Динамичная
Address_street, Достижений
Address_street, Евгения Глинского
Address_street, Ивана Маланина
Address_street, Ивана Салащенко
Address_street, Извилистая
Address_street, Защитников Отечества
Address_street, Керамическая
Address_street, Красноводская
Address_street, Летчика Петрова
Address_street, Лирическая
Address_street, Мелодичная
Address_street, Михаила Нарольского
Address_street, Музыкальная
Address_street, Отдыха
Address_street, Павла Кондратенко
Address_street, Памятная
Address_street, Патриотическая
Address_street, Полякова
Address_street, Праздничная
Address_street, Профилактическая
Address_street, Состязания
Address_street, Спринтерская
Address_street, Стрелковая
Address_street, Хороводная
Address_street, Чемпионская
Address_street,
Address_side, Амбулаторный
Address_side, 1-й Биатлонный
Address_side, 2-й Биатлонный
Address_side, Мажорный
Address_side, Минорный
Address_side, 1-й, 2-й Спринтерский
Address_side, 7-й км Гусинобродского шоссе, № 1
Address_side, проезд 2-й Легкий
Precinct_number,1426
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59», ул. Доватора, 27/1 
Address_street, Доватора № 29/1
Address_street, Доватора 29/2
Address_street, Доватора 31/2
Address_street, Доватора 33
Address_street, Доватора 33/1
Address_street, Доватора 33/2
Address_street, Доватора 33/3
Address_street, Доватора 35
Address_street, Доватора 35/1
Address_street, Доватора 35/2
Address_street, Толбухина № 2
Address_street, Толбухина 25/1
Precinct_number,1427
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59», ул. Доватора, 27/1 
Address_street, Геофизическая
Address_street, Доватора № 23
Address_street, Доватора 23/1
Address_street, Доватора 25
Address_street, Доватора 25/1
Address_street, Доватора 27
Address_street, Доватора 29
Address_street, Доватора 31
Address_street, Доватора 31/1
Address_street, Доватора 34
Address_street, Доватора четная с № 52 до конца
Address_street, Национальная – нечетная с № 95 до конца четная с № 94 до конца
Address_street, Суркова
Precinct_number,1428
Precinct_place, филиал МБУ ДО города Новосибирска «Детско-юношеская спортивная школа № 15», ул. Есенина, 15 
Address_side, Трикотажстроя
Precinct_number,1429
Precinct_place, МКУК города Новосибирска «ЦБС им. В. Г. Белинского Дзержинского района» филиал «Библиотека им. Я. Гашека», ул. Адриена Лежена, 16 
Precinct_number,1430
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153», ул. Республиканская, 15/1 
Address_street, Лазарева № 8
Address_street, Лазарева 10
Address_street, Лазарева 12
Address_street, Лазарева нечетная с № 1 по 9
Address_street, Республиканская № 13
Address_street, Республиканская 15
Address_street, Трикотажная № 54
Address_street, Трикотажная 54/1
Address_street, Трикотажная 56
Address_street, Трикотажная 56/1
Address_street, Трикотажная 58
Address_street, Трикотажная 58/1
Precinct_number,1431
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153», ул. Республиканская, 15/1 
Address_street, Республиканская № 1
Address_street, Республиканская 1а
Address_street, Республиканская 3
Address_street, Республиканская 3а
Address_street, Республиканская 5
Address_street, Республиканская 5а
Address_street, Республиканская 7
Address_street, Республиканская 7а
Address_street, Республиканская 9
Address_street, Республиканская 9а
Address_street, Республиканская 11
Address_street, Республиканская 11/1
Address_street, Республиканская 11а
Address_street, Трикотажная № 49
Address_street, Трикотажная 49а
Address_street, Трикотажная 49/1
Precinct_number,1432
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153», ул. Республиканская, 15/1 
Address_street, Авиастроителей № 1/1
Address_street, Авиастроителей 1/2
Address_street, Авиастроителей 1/3
Address_street, Авиастроителей 1/4
Address_street, Авиастроителей 1/5
Address_street, Авиастроителей 1/6
Address_street, Авиастроителей 1/7
Address_street, Авиастроителей 1/8
Address_street, Авиастроителей 1/9
Address_street, Авиастроителей 1/10
Address_street, Трикотажная 61
Address_street, Чкалова № 70/1
Address_street, Чкалова 72
Address_street, Чкалова 74
Precinct_number,1433
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153», ул. Республиканская, 15/1 
Address_street, Авиастроителей № 1
Address_street, Авиастроителей 2/1
Address_street, Дениса Давыдова № 1
Address_street, Дениса Давыдова 1/1
Address_street, Дениса Давыдова 1/2
Address_street, Дениса Давыдова 1/4
Address_street, Дениса Давыдова 2б
Address_street, Дениса Давыдова 2в
Address_street, Забайкальская № 53
Address_street, Забайкальская 55
Address_street, Трикотажная № 60
Address_street, Трикотажная 60/1
Address_street, Трикотажная 60/3
Address_street, 25 лет Октября № 7
Address_street, 25 лет Октября 9
Precinct_number,1434
Precinct_place, МБУК города Новосибирска «Детский Дом культуры им. М. И. Калинина», ул. Театральная, 1 
Address_street, Авиастроителей № 2
Address_street, Авиастроителей 2/2
Address_street, Авиастроителей 2/4
Address_street, Авиастроителей 2а
Address_street, Авиастроителей 4
Address_street, Авиастроителей 6
Address_street, Авиастроителей 6а
Address_street, Театральная № 3
Address_street, Театральная 3а
Address_street, Трикотажная 60/2
Address_street, 25 лет Октября № 1
Address_street, 25 лет Октября 3
Address_street, 25 лет Октября 5
Precinct_number,1435
Precinct_place, МБУК города Новосибирска «Детский Дом культуры им. М. И. Калинина», ул. Театральная, 1 
Address_street, Авиастроителей – нечетная с № 3 по 9
Address_street, Дениса Давыдова № 2
Address_street, Дениса Давыдова 2а
Address_street, Дениса Давыдова 3
Address_street, Дениса Давыдова 5
Address_street, Театральная № 9
Address_street, Театральная 9а
Address_street, 25 лет Октября № 6
Address_street, 25 лет Октября 8
Precinct_number,1436
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 71», пер. 3-й Почтовый, 21 
Address_street, Волочаевская – четная с № 116 по 134 нечетная с № 59 по 75
Address_street, Ярослава Гашека – четная с № 10 по 42 нечетная с № 19 по 41е
Address_street, Давыдовского
Address_street, Караваева – четная с № 8 по 40 нечетная с № 15 по 47
Address_street, Новороссийская – четная с № 52 по 66 нечетная с № 51 по 65/2
Address_street, Почтовая – четная с № 22 до конца нечетная с № 27 до конца
Address_street, Севастопольская
Address_street, Юрия Смирнова – четная с № 36 по 54 нечетная с № 55 по 69
Address_street, Фурманова – четная
Address_street, Черенкова – четная с № 2 по 16 нечетная с № 1 по 31
Address_street,
Address_side, Давыдовского
Precinct_number,1437
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 71», пер. 3-й Почтовый, 21 
Address_street, Воронежская
Address_street, Калужская – четная с № 2 по 14
Address_street, Камчатская – четная с № 2 по 54 нечетная с № 1 по 23
Address_street, Каширская – четная с № 2 по 58 нечетная с № 1 по 47
Address_street, Коломенская – четная с № 2 до конца нечетная с № 1 по 79
Address_street, Коминтерна – четная с № 2 по 72 нечетная с № 1 по 61
Address_street, Москворецкая – четная с № 2 по 78 нечетная с № 1 по 69
Address_street, Рылеева – четная с № 2 по 76 нечетная с № 1 по 73
Address_street, Фурманова – нечетная
Address_street,
Address_side, Воронежский
Address_side, 1-й – 5-й Калужский
Address_side, 6-й Калужский – нечетная
Address_side,
Address_place, СТ «Ракета»
Precinct_number,1438
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 71», пер. 3-й Почтовый, 21 
Address_street, Альпийская
Address_street, Барышевская
Address_street, Волочаевская № 51
Address_street, Волочаевская 53
Address_street, Волочаевская четная с № 68 по 114
Address_street, 1-я Высотная
Address_street, Ярослава Гашека – четная с № 2 по 8 нечетная с № 1 по 17
Address_street, Дарьяльская
Address_street, Зеленхозовская – четная с № 12 по 60/1 нечетная с № 1 по 5в
Address_street, Караваева № 2
Address_street, Караваева 4
Address_street, Караваева нечетная с № 1 по 11
Address_street, Липецкая – четная с № 2 по 44 нечетная с № 3 по 51
Address_street, Новороссийская – четная с № 2 по 50/2 нечетная с № 1 по 49
Address_street, Почтовая – четная с № 2 по 20 нечетная с № 1 по 25/1
Address_street, Почтовый Лог
Address_street, Юрия Смирнова – четная с № 2 по 34 нечетная с № 1 по 51
Address_street, Ставропольская – четная с № 2 по 34 нечетная с № 1 по 29
Address_street, Техническая № 3/1
Address_street, Техническая 5
Address_street, Техническая 7
Address_street, Техническая 9
Address_street, Техническая четная с № 12 по 18
Address_street,
Address_side, Альпийский
Precinct_number,1439
Precinct_place, МБУ ДО города Новосибирска Центр внешкольной работы «Галактика», пр-кт Дзержинского, 83 
Address_street, Проспект Дзержинского 
Address_side, 2-й – 6-й Рабочий
Precinct_number,1440
Precinct_place, МБУ ДО города Новосибирска Центр внешкольной работы «Галактика», пр-кт Дзержинского, 83 
Address_street, Проспект Дзержинского, № 38, 40, 42;

Address_side, Волжский
Address_side, Волочаевский
Precinct_number,1441
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 18», ул. Гоголя, 233 
Address_street, Проспект Дзержинского, № 34/2, 36;

Precinct_number,1442
Precinct_place, ГБПОУ Новосибирской области «Новосибирский радиотехнический колледж», пр-кт Дзержинского, 26 
Address_street, Гоголя № 221а
Address_street, Гоголя 223
Address_street, Гоголя 223/1
Address_street, Гоголя 225
Address_street, Гоголя 225/1
Address_street, Гоголя 225/2
Address_street, Комбинатская – четная с № 14 по 36
Address_street, Королева – нечетная с № 1 по 7а
Address_street, Поселковая – четная с № 52 до конца нечетная с № 1 до конца
Address_street, Шишкина – четная с № 2 по 40
Address_street,
Address_side, Поселковый
Address_side, 2-й Поселковый
Precinct_number,1443
Precinct_place, ГБПОУ Новосибирской области «Новосибирский радиотехнический колледж», пр-кт Дзержинского, 26 
Address_street, Проспект Дзержинского, № 28, 28а, 28/2;

Precinct_number,1444
Precinct_place, ГАПОУ Новосибирской области «Новосибирский колледж легкой промышленности и сервиса» (отделение профессионального начального образования, ул. Гоголя, 217 
Address_street, Проспект Дзержинского 
Precinct_number,1445
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 82», ул. Гоголя, 195 
Address_street, Проспект Дзержинского, № 12, 14, 14/1, 14/2, 14/3, 16/1;

Precinct_number,1446
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 82», ул. Гоголя, 195 
Address_street, Проспект Дзержинского, № 6, 10, 10/1;

Precinct_number,1447
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 82», ул. Гоголя, 195 
Address_street, Гоголя – четная с № 204/1 по 208
Address_street, Красина № 56
Address_street, Красина 58
Address_street, Красина 58/1
Address_street, Красина 60
Address_street, Красина 60а
Precinct_number,1448
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 18», ул. Гоголя, 233 
Address_street, Проспект Дзержинского 
Precinct_number,1449
Precinct_place, МАОУ города Новосибирска «Гимназия № 15 «Содружество», ул. Гоголя, 188/1 
Address_street, Проспект Дзержинского, № 2, 2а, 4;

Precinct_number,1450
Precinct_place, МАОУ города Новосибирска «Гимназия № 15 «Содружество», ул. Гоголя, 188/1 
Address_street, Гоголя № 184
Address_street, Гоголя 186
Address_street, Гоголя 188
Address_street, Гоголя 190
Address_street, Гоголя 190/1
Address_street, Гоголя 192
Address_street, Кошурникова № 9
Address_street, Кошурникова 11
Precinct_number,1451
Precinct_place, МАОУ города Новосибирска «Гимназия № 15 «Содружество», ул. Гоголя, 188/1 
Address_street, Державина – четная № 170 172
Address_street, Державина – четная № 170 172а
Address_street, Державина – четная № 170 № 186 до конца
Address_street, Державина – четная № 170 нечетная с № 167 до конца
Address_street, Ермака – четная с № 162 до конца нечетная с № 165 до конца
Address_street, 1-й Кирзавод
Address_street, Кошурникова № 13
Address_street, Кошурникова 13/1
Address_street, Кошурникова 13/2
Address_street, Кошурникова 15
Address_street, Красина № 45
Address_street, Красина 47
Address_street, Красина 47/1
Address_street, Красина 47/2
Address_street, Левый Берег Каменки
Address_street, Ломоносова – четная с № 220 до конца нечетная с № 239 до конца
Address_street, Поселковая – четная с № 2 по 46
Address_street,
Precinct_number,1452
Precinct_place, МКОУ города Новосибирска «Специальная (коррекционная школа № 53», ул. Кошурникова, 9/1 
Address_street, Гоголя № 180
Address_street, Гоголя 182
Address_street, Гоголя 184/1
Address_street, Кошурникова № 3
Address_street, Кошурникова 5
Address_street, Кошурникова 5/1
Address_street, Кошурникова 5/2
Address_street, Кошурникова 5/3
Address_street, Кошурникова 7
Address_street, Кошурникова 7/1
Precinct_number,1453
Precinct_place, ГБПОУ Новосибирской области «Новосибирский строительно-монтажный колледж», пр-кт Дзержинского, 1 
Address_street, Войкова – четная с № 2 по 16 нечетная с № 1 по 15б
Address_street, Журинская – четная с № 122 по 140 нечетная с № 123 по 143
Address_street, Селезнева № 6
Address_street, Селезнева 6а
Address_street, Селезнева 8
Address_street, Фрунзе № 59
Address_street, Фрунзе 59/1
Address_street, Фрунзе 71
Address_street, Фрунзе 71/1
Address_street, Фрунзе 226
Address_street, Фрунзе 228
Address_street, Фрунзе 230
Address_street, Фрунзе 234
Address_street,
Address_side, Карьерный Лог; тупик Войкова
Precinct_number,1454
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 96 с углубленным изучением английского языка», ул. Фрунзе, 63/1 
Address_street, Кошурникова № 12
Address_street, Кошурникова 14
Address_street, Кошурникова 16
Address_street, Кошурникова 18
Address_street, Кошурникова 20
Address_street, Кошурникова 22
Address_street, Кошурникова 22/1
Address_street, Фрунзе № 67
Address_street, Фрунзе 69
Address_street, Фрунзе 232
Precinct_number,1455
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 96 с углубленным изучением английского языка», ул. Фрунзе, 63/1 
Address_street, Кошурникова № 2
Address_street, Кошурникова 2/1
Address_street, Кошурникова 4
Address_street, Кошурникова 6
Address_street, Кошурникова 8
Address_street, Кошурникова 10
Address_street, Селезнева 24
Address_street, Фрунзе № 59/2
Address_street, Фрунзе 61
Address_street, Фрунзе 63
Address_street, Фрунзе 65
Precinct_number,1456
Precinct_place, ГБПОУ Новосибирской области «Новосибирский строительно-монтажный колледж», пр-кт Дзержинского, 1 
Address_street, Проспект Дзержинского, 1/1;

Precinct_number,1457
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 111», ул. Промышленная, 1/1 
Address_street, Проспект Дзержинского, № 7, 7а;

Precinct_number,1458
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 111», ул. Промышленная, 1/1 
Address_street, Проспект Дзержинского, № 1а, 3, 3а, 3б, 5;

Precinct_number,1459
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 111», ул. Промышленная, 1/1 
Address_street, Войкова – четная с № 54 по 64 нечетная с № 61 по 71в
Address_street, Кольцова – нечетная с № 187 до конца
Address_street, Крестьянская – четная с № 26 по 44б нечетная с № 5 по 13
Address_street, Николая Островского – четная с № 152 по 200а нечетная с № 171 по 193а и с № 237 по 267
Address_street, Партизанская – четная с № 132 по 150 и с № 186 по 210а нечетная с № 97 по 119
Address_street, Писарева – четная с № 112 по 142а нечетная с № 155 по 179
Address_street, Планетная № 32
Address_street, Планетная 71
Address_street, Светлая – четная с № 68 по 74
Address_street, Селезнева – четная № 92 с № 98 по 128
Precinct_number,1460
Precinct_place, МБОУ города Новосибирска «Аэрокосмический лицей имени Ю. В. Кондратюка», ул. Индустриальная, 4а 
Address_street, Проспект Дзержинского 
Precinct_number,1461
Precinct_place, МБОУ города Новосибирска «Аэрокосмический лицей имени Ю. В. Кондратюка», ул. Индустриальная, 4а 
Address_street, Проспект Дзержинского, № 21, 23;

Precinct_number,1462
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 178», пр-кт Дзержинского, 43 
Address_street, Проспект Дзержинского 
Precinct_number,1463
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 178», пр-кт Дзержинского, 43 
Address_street, Проспект Дзержинского 
Precinct_number,1464
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 169», пр-кт Дзержинского, 60 
Address_street, Автономная
Address_street, Алеутская
Address_street, Алмазная
Address_street, Боевая
Address_street, Высотная – четная с № 6 до конца нечетная с № 1 по 19
Address_street, Высотная – четная с № 6 до конца № 29
Address_street, Высотная – четная с № 6 до конца 31
Address_street, Геологическая
Address_street, Зеленхозовская – четная с № 62 по 124 нечетная с № 7 по 87
Address_street, 2-я Зеленхозовская
Address_street, Кавалькадная
Address_street, Курильская
Address_street, Ставропольская – четная с № 58 по 96 нечетная с № 45 по 97
Address_street, Печерская
Address_street, Приисковая – четная с № 4 до конца нечетная с № 15 по 23/2
Address_street, Станичная
Address_street, Экономическая № 1
Address_street, Экономическая 5
Address_street, Экономическая 7
Address_street,
Address_side, 1-й – 4-й Ставропольский
Address_side, Боевой
Address_side, 2-й, 3-й Зеленхозовский
Address_side,
Address_place, СТ «Банковец»
Address_place, СТ «Березовая роща»
Address_place, СТ «Водник»
Address_place, СТ «Заря»
Address_place, СК «Заречный»
Address_place, СТ «Печатник»
Address_place, СТ «Пенсионер-Учитель»
Address_place, СТ «Пищевик»
Address_place, СТ «Рябина»
Address_place, СНТ «Садовод-Мичуринец»
Address_place, СТ «Сибирский садовод»
Address_place,
Precinct_number,1465
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 169», пр-кт Дзержинского, 60 
Address_street, Проспект Дзержинского 
Address_side, 1-й, 2-й Ландшафтный
Address_side, Седова
Address_side, 1-й Седова – нечетная
Address_side, 2-й Седова
Address_side, 3-й Седова
Address_side, 1-й, 2-й Сивашский
Precinct_number,1466
Precinct_place, МКДОУ города Новосибирска «Детский сад № 362 комбинированного вида», пр-кт Дзержинского, 59а 
Address_street, Проспект Дзержинского 
Precinct_number,1467
Precinct_place, МКУК города Новосибирска «ЦБС им. В. Г. Белинского Дзержинского района», отдел «Центральная районная библиотека им. В. Г. Белинского», пр-кт Дзержинского, 79 
Address_street, Проспект Дзержинского 
Precinct_number,1468
Precinct_place, МБОУ города Новосибирска «Вечерняя (сменная школа № 15», ул. Волочаевская, 111 
Address_street, Гусинобродское шоссе, 33;

Address_side, 7-й – 9-й Калужский
Address_side, 6-й Калужский – четная
Precinct_number,1469
Precinct_place, МБОУ города Новосибирска «Вечерняя (сменная школа № 15», ул. Волочаевская, 111 
Address_street, Волочаевская – четная с № 136 до конца нечетная с № 77 до конца
Address_street, Ярослава Гашека – четная с № 44 до конца нечетная с № 43 до конца
Address_street, Караваева – четная с № 42 до конца нечетная с № 49 до конца
Address_street, Каширская – четная с № 60 по 80
Address_street, Коломенская – нечетная с № 81 по 95
Address_street, Коминтерна – четная с № 74 по 90/1 нечетная с № 63 по 85д
Address_street, Липецкая – нечетная с № 53 до конца
Address_street, Москворецкая – четная с № 80 до конца нечетная с № 71 до конца
Address_street, Новороссийская – четная с № 68 до конца нечетная с № 67 до конца
Address_street, Рылеева – четная с № 78 до конца нечетная с № 75 по 91б
Address_street, Юрия Смирнова – четная с № 56 до конца нечетная с № 71 до конца
Address_street, Черенкова – четная с № 18 до конца нечетная с № 33 до конца
Address_street,
Address_side, 6-й – 9-й Почтовый
Precinct_number,1470
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 169», пр-кт Дзержинского, 60 
Address_street, Проспект Дзержинского 
Address_side, Верещагина
Address_side, 1-й, 2-й Грекова
Address_side, Дежнева
Address_side, Потемкина
Address_side, Циолковского
Address_side,
Address_place, СТ «Золотая горка»
Precinct_number,1471
Precinct_place, МБОУ города Новосибирска «Средняя общеобразовательная школа № 36», ул. Авиастроителей, 10 
Address_street, Авиастроителей № 8
Address_street, Авиастроителей 12
Address_street, Лазарева – нечетная с № 27 по 33
Address_street, Республиканская № 23
Address_street, Республиканская 25
Address_street, Театральная – четная с № 2 по 4/1
