Address_place,  города Искитима Новосибирской области
Overall_count,34
Precinct_nums_str,с № 1374 по № 1407.
Precinct_nums,1374,1375,1376,1377,1378,1379,1380,1381,1382,1383,1384,1385,1386,1387,1388,1389,1390,1391,1392,1393,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403,1404,1405,1406,1407
Precinct_number,1374
Precinct_place,производственного  комбината 
Precinct_address,производственного  комбината)  производственного  комбината 
Address_side, переулок  Заводской  Киевский
Address_side, переулок  Заводской  Речной
Address_side, переулок  Заводской  Школьный
Address_side, переулок  Заводской  Ярославского
Address_street, улица  Бурлинская  Горького
Address_street, улица  Бурлинская   Дзержинского
Address_street, улица  Бурлинская  Заводская
Address_street, улица  Бурлинская 55
Address_street, улица  Бурлинская 56
Address_street, улица  Бурлинская 57
Address_street, улица  Бурлинская 58
Address_street, улица  Бурлинская 59
Address_street, улица  Бурлинская 60
Address_street, улица  Бурлинская 61
Address_street, улица  Бурлинская 62
Address_street, улица  Бурлинская 63
Address_street, улица  Бурлинская 64
Address_street, улица  Бурлинская 65
Address_street, улица  Бурлинская 66
Address_street, улица  Бурлинская 67
Address_street, улица  Бурлинская 68
Address_street, улица  Бурлинская 69
Address_street, улица  Бурлинская 70
Address_street, улица  Бурлинская 71
Address_street, улица  Бурлинская 72
Address_street, улица  Бурлинская 73
Address_street, улица  Бурлинская 74
Address_street, улица  Бурлинская 75
Address_street, улица  Бурлинская 76
Address_street, улица  Бурлинская 77
Address_street, улица  Бурлинская 78
Address_street, улица  Бурлинская 79
Address_street, улица  Бурлинская 80
Address_street, улица  Бурлинская 81
Address_street, улица  Бурлинская 82
Address_street, улица  Бурлинская 83
Address_street, улица  Бурлинская 84
Address_street, улица  Бурлинская 85
Address_street, улица  Бурлинская 86
Address_street, улица  Бурлинская 87
Address_street, улица  Бурлинская 88
Address_street, улица  Бурлинская 89
Address_street, улица  Бурлинская 90
Address_street, улица  Бурлинская 91
Address_street, улица  Бурлинская 92
Address_street, улица  Бурлинская 93
Address_street, улица  Бурлинская 94
Address_street, улица  Бурлинская 95
Address_street, улица  Бурлинская 96
Address_street, улица  Бурлинская 97
Address_street, улица  Бурлинская 98
Address_street, улица  Бурлинская 99
Address_street, улица  Бурлинская 100
Address_street, улица  Бурлинская 101
Address_street, улица  Бурлинская 102
Address_street, улица  Бурлинская 103
Address_street, улица  Бурлинская 104
Address_street, улица  Бурлинская 105
Address_street, улица  Бурлинская 106
Address_street, улица  Бурлинская 107
Address_street, улица  Бурлинская 108
Address_street, улица  Бурлинская 109
Address_street, улица  Бурлинская 110
Address_street, улица  Бурлинская 111
Address_street, улица  Бурлинская 112
Address_street, улица  Бурлинская 113
Address_street, улица  Бурлинская 114
Address_street, улица  Бурлинская 115
Address_street, улица  Бурлинская 116
Address_street, улица  Бурлинская 117
Address_street, улица  Бурлинская 118
Address_street, улица  Бурлинская 119
Address_street, улица  Бурлинская 120
Address_street, улица  Бурлинская 121
Address_street, улица  Бурлинская 122
Address_street, улица  Бурлинская 123
Address_street, улица  Бурлинская 124
Address_street, улица  Бурлинская 125
Address_street, улица  Бурлинская 126
Address_street, улица  Бурлинская 127
Address_street, улица  Бурлинская 128
Address_street, улица  Бурлинская 129
Address_street, улица  Бурлинская 130
Address_street, улица  Бурлинская 131
Address_street, улица  Бурлинская 132
Address_street, улица  Бурлинская 133
Address_street, улица  Бурлинская 134
Address_street, улица  Бурлинская 135
Address_street, улица  Бурлинская 136
Address_street, улица  Бурлинская 137
Address_street, улица  Бурлинская 138
Address_street, улица  Бурлинская 139
Address_street, улица  Бурлинская  Казарма 52 км
Address_street, улица  Бурлинская  Киевская
Address_street, улица  Бурлинская  Кошевого
Address_street, улица  Бурлинская   Куйбышева
Address_street, улица  Бурлинская  Островского
Address_street, улица  Бурлинская  Пархоменко
Address_street, улица  Бурлинская   Речная
Address_street, улица  Бурлинская  Северная
Address_street, улица  Бурлинская  Сибирская
Address_street, улица  Бурлинская 1
Address_street, улица  Бурлинская 2
Address_street, улица  Бурлинская 3
Address_street, улица  Бурлинская 4
Address_street, улица  Бурлинская 5
Address_street, улица  Бурлинская 6
Address_street, улица  Бурлинская 7
Address_street, улица  Бурлинская 8
Address_street, улица  Бурлинская 9
Address_street, улица  Бурлинская 10
Address_street, улица  Бурлинская 11
Address_street, улица  Бурлинская 12
Address_street, улица  Бурлинская 13
Address_street, улица  Бурлинская 14
Address_street, улица  Бурлинская 15
Address_street, улица  Бурлинская 16
Address_street, улица  Бурлинская 17
Address_street, улица  Бурлинская 18
Address_street, улица  Бурлинская 19
Address_street, улица  Бурлинская 20
Address_street, улица  Бурлинская 21
Address_street, улица  Бурлинская 22
Address_street, улица  Бурлинская 23
Address_street, улица  Бурлинская 24
Address_street, улица  Бурлинская 25
Address_street, улица  Бурлинская 26
Address_street, улица  Бурлинская 27
Address_street, улица  Бурлинская 28
Address_street, улица  Бурлинская 29
Address_street, улица  Бурлинская 30
Address_street, улица  Бурлинская 31
Address_street, улица  Бурлинская 32
Address_street, улица  Бурлинская 33
Address_street, улица  Бурлинская 34
Address_street, улица  Бурлинская 35
Address_street, улица  Бурлинская 36
Address_street, улица  Бурлинская 37
Address_street, улица  Бурлинская 38
Address_street, улица  Бурлинская 39
Address_street, улица  Бурлинская 40
Address_street, улица  Бурлинская 41
Address_street, улица  Бурлинская 42
Address_street, улица  Бурлинская 43
Address_street, улица  Бурлинская 44
Address_street, улица  Бурлинская 45
Address_street, улица  Бурлинская 46
Address_street, улица  Бурлинская 47
Address_street, улица  Бурлинская 48
Address_street, улица  Бурлинская 49
Address_street, улица  Бурлинская 50
Address_street, улица  Бурлинская 51
Address_street, улица  Бурлинская 52
Address_street, улица  Бурлинская 53
Address_street, улица  Бурлинская 54
Address_street, улица  Бурлинская 55
Address_street, улица  Бурлинская 56
Address_street, улица  Бурлинская 57
Address_street, улица  Бурлинская 58
Address_street, улица  Бурлинская 59
Address_street, улица  Бурлинская 60
Address_street, улица  Бурлинская 61
Address_street, улица  Бурлинская 62
Address_street, улица  Бурлинская 63
Address_street, улица  Бурлинская 64
Address_street, улица  Бурлинская 65
Address_street, улица  Бурлинская 66
Address_street, улица  Бурлинская 67
Address_street, улица  Бурлинская 68
Address_street, улица  Бурлинская 69
Address_street, улица  Бурлинская 70
Address_street, улица  Бурлинская 71
Address_street, улица  Бурлинская 72
Address_street, улица  Бурлинская 73
Address_street, улица  Бурлинская 74
Address_street, улица  Бурлинская 75
Address_street, улица  Бурлинская  Урицкого
Address_street, улица  Бурлинская  Челюскинцев
Address_street, улица  Бурлинская  Чернореченская
Address_street, улица  Бурлинская  Чехова
Address_street, улица  Бурлинская  Школьная
Address_street, улица  Бурлинская  Шмидта
Address_street, улица  Бурлинская  Ярославского
Precinct_number,1375
Precinct_place, город Искитим ул.Кирова35 (помещение муниципального бюджетного общеобразовательного учреждения – Средняя общеобразовательная школа №2 
Precinct_address, ул.Кирова 35 (помещение муниципального бюджетного общеобразовательного учреждения – Средняя общеобразовательная школа №2 
Address_street, улица   Алтайская с № 19 по № 77  Герцена
Address_street, улица   Алтайская с № 19 по № 77  Кирова
Address_street, улица   Алтайская с № 19 по № 77  Космодемьянской
Address_street, улица   Алтайская с № 19 по № 77  Крупской
Address_street, улица   Алтайская с № 19 по № 77  Новосибирская
Address_street, улица   Алтайская с № 19 по № 77    Пионерская
Address_street, улица   Алтайская с № 19 по № 77 1
Address_street, улица   Алтайская с № 19 по № 77 2
Address_street, улица   Алтайская с № 19 по № 77 3
Address_street, улица   Алтайская с № 19 по № 77 4
Address_street, улица   Алтайская с № 19 по № 77 76
Address_street, улица   Алтайская с № 19 по № 77 77
Address_street, улица   Алтайская с № 19 по № 77 78
Address_street, улица   Алтайская с № 19 по № 77 79
Address_street, улица   Алтайская с № 19 по № 77 80
Address_street, улица   Алтайская с № 19 по № 77 81
Address_street, улица   Алтайская с № 19 по № 77 82
Address_street, улица   Алтайская с № 19 по № 77 83
Address_street, улица   Алтайская с № 19 по № 77 84
Address_street, улица   Алтайская с № 19 по № 77 85
Address_street, улица   Алтайская с № 19 по № 77 86
Address_street, улица   Алтайская с № 19 по № 77 87
Address_street, улица   Алтайская с № 19 по № 77 88
Address_street, улица   Алтайская с № 19 по № 77 89
Address_street, улица   Алтайская с № 19 по № 77 90
Address_street, улица   Алтайская с № 19 по № 77 91
Address_street, улица   Алтайская с № 19 по № 77 92
Address_street, улица   Алтайская с № 19 по № 77 93
Address_street, улица   Алтайская с № 19 по № 77 94
Address_street, улица   Алтайская с № 19 по № 77 95
Address_street, улица   Алтайская с № 19 по № 77 96
Address_street, улица   Алтайская с № 19 по № 77 97
Address_street, улица   Алтайская с № 19 по № 77 98
Address_street, улица   Алтайская с № 19 по № 77 99
Address_street, улица   Алтайская с № 19 по № 77 100
Address_street, улица   Алтайская с № 19 по № 77 101
Address_street, улица   Алтайская с № 19 по № 77 102
Address_street, улица   Алтайская с № 19 по № 77 103
Address_street, улица   Алтайская с № 19 по № 77 104
Address_street, улица   Алтайская с № 19 по № 77 105
Address_street, улица   Алтайская с № 19 по № 77 106
Address_street, улица   Алтайская с № 19 по № 77 107
Address_street, улица   Алтайская с № 19 по № 77 108
Address_street, улица   Алтайская с № 19 по № 77 109
Address_street, улица   Алтайская с № 19 по № 77 110
Address_street, улица   Алтайская с № 19 по № 77 111
Address_street, улица   Алтайская с № 19 по № 77 112
Address_street, улица   Алтайская с № 19 по № 77 113
Address_street, улица   Алтайская с № 19 по № 77 114
Address_street, улица   Алтайская с № 19 по № 77 115
Address_street, улица   Алтайская с № 19 по № 77 116
Address_street, улица   Алтайская с № 19 по № 77 117
Address_street, улица   Алтайская с № 19 по № 77 118
Address_street, улица   Алтайская с № 19 по № 77 119
Address_street, улица   Алтайская с № 19 по № 77 120
Address_street, улица   Алтайская с № 19 по № 77 121
Address_street, улица   Алтайская с № 19 по № 77 122
Address_street, улица   Алтайская с № 19 по № 77 123
Address_street, улица   Алтайская с № 19 по № 77 124
Address_street, улица   Алтайская с № 19 по № 77 125
Address_street, улица   Алтайская с № 19 по № 77 126
Address_street, улица   Алтайская с № 19 по № 77 127
Address_street, улица   Алтайская с № 19 по № 77 128
Address_street, улица   Алтайская с № 19 по № 77 129
Address_street, улица   Алтайская с № 19 по № 77 130
Address_street, улица   Алтайская с № 19 по № 77 131
Address_street, улица   Алтайская с № 19 по № 77 132
Address_street, улица   Алтайская с № 19 по № 77 133
Address_street, улица   Алтайская с № 19 по № 77 134
