precinct_number,precinct_place,p_lat,p_lon,address,lat,lon
,,,,  города Бердска Новосибирской области,54.71297,83.07904
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  1-я Линейная,54.78755,83.08079
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  2-я Лесная,54.78762,83.07542
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  2-я Линейная,54.78434,83.07963
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Абрикосовая,54.78394,83.15101
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица Большевистская 2/А,54.79719,83.10235
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица Большевистская  2/Б,54.79719,83.10235
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица Большевистская  4,54.79719,83.10235
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Брусничная,54.78336,83.14824
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Виноградная,54.78466,83.14709
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Голубичная,54.78079,83.14823
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Ежевичная,54.78409,83.15523
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Еловая,54.78215,83.15473
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Железнодорожная,54.78965,83.08219
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Клубничная,54.78556,83.15156
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Клюквенная,54.78306,83.15428
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Лесная,54.78762,83.07542
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Малиновая,54.74767,83.04258
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Победы,54.78693,83.07639
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Таежная,54.78372,83.15455
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Черничная,54.78326,83.15238
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, улица  Ягодная.,54.78382,83.14739
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, Речкуновской зоны отдыха,54.78509,83.12402
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, Речкуновской зоны  санатория   Речкуновский,0,0
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, Речкуновской зоны отдыха МК «Сибиряк»,0,0
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, Речкуновской зоны отдыха МК  Речного порта,0,0
1327, город Бердск здание корпуса № 1 ЗАО  «Сосновка»,0,0, Речкуновской зоны отдыха МК  санатория   Лазурный,54.79541,83.0429
1328, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0,  Бердского пансионата ветеранов труда имени Калинина.,0,0
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, улица Парижской Коммуны,54.80577,83.09722
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, улица Парижской  №15,54.80598,83.09489
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, улица Парижской,54.80577,83.09722
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, переулок  М.Гвардии,54.80713,83.09689
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, переулок   Матросова,54.80655,83.10318
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, переулок   Пирогова,54.8047,83.09583
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, переулок   Школьный,54.80306,83.0917
1329, город Бердск здание ГАУ ССО НСО «Бердский пансионат ветеранов труда имени  М.И.Калинина»,0,0, переулок   Энгельса.,54.805,83.09637
1330, город Бердск улица Парижской Коммуны №15 здание МОУ «Средняя общеобразовательная школа № 4  Границы избирательного участка улицы,0,0, улица  Ленина,54.77059,83.07158
1330, город Бердск улица Парижской Коммуны №15 здание МОУ «Средняя общеобразовательная школа № 4  Границы избирательного участка улицы,0,0, улица   № 13,54.71905,83.08693
1330, город Бердск улица Парижской Коммуны №15 здание МОУ «Средняя общеобразовательная школа № 4  Границы избирательного участка улицы,0,0, улица   здание МОУ «Средняя общеобразовательная школа № 10»,0,0
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица  1-я Лесная,54.76947,83.07149
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица  Красный Сокол,54.78026,83.05426
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина 1/А,54.7711,83.07034
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  3,54.7711184,83.0702737
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  7,54.7694,83.075
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица  Песчаная 3,54.77174,83.08674
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 11/1,54.77343,83.08255
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова  11/2,54.7734,83.08111
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 2,54.77095,83.07888
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 4,54.77112,83.07837
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 6,54.77112,83.07837
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 8,54.77105,83.07857
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 10,54.77232,83.07757
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 12,54.77264,83.07658
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 14,54.7714486,83.0779193
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 16,54.7715758,83.0779162
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 18,54.77122,83.07807
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 3,54.77095,83.07898
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 5,54.77122,83.07807
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 7,54.77122,83.07807
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 9,54.77115,83.07828
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 11,54.77282,83.08404
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 13,54.7713879,83.077944
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 15,54.7715122,83.0779178
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 17,54.77136,83.07797
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 19,54.77141,83.07793
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 21,54.77141,83.07793
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 23,54.77141,83.07793
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 25,54.77141,83.07793
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 27,54.77323,83.08582
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 29,54.77323,83.08582
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 31,54.77323,83.08582
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 33,54.77323,83.08582
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова 35,54.77315,83.08707
1330, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Попова  35/А.,54.77323,83.08593
1331, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ясная Поляна № 16,54.79301,83.04828
1331, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ясная Поляна №  здание торгово-развлекательного комплекса «Ясная Поляна»,0,0
1331,развлекательного комплекса «Ясная Поляна»,0,0, улица  2-я Морская,54.76835,83.02173
1331,развлекательного комплекса «Ясная Поляна»,0,0, улица  Морская,54.78444,83.0529
1331,развлекательного комплекса «Ясная Поляна»,0,0, улица  Тихая,54.79287,83.05048
1331,развлекательного комплекса «Ясная Поляна»,0,0, улица  Ясная Поляна.,54.79318,83.04821
1331,развлекательного комплекса «Ясная Поляна»,0,0, переулок  Морской,54.43972,86.47314
1331,развлекательного комплекса «Ясная Поляна»,0,0,  санатория Бердский,54.79311,83.04639
1332,развлекательного комплекса «Ясная Поляна»,0,0, улица  Ленина,54.77059,83.07158
1332,развлекательного комплекса «Ясная Поляна»,0,0, улица   № 13,54.71905,83.08693
1332,развлекательного комплекса «Ясная Поляна»,0,0, улица   здание МОУ «Средняя общеобразовательная школа № 10»,0,0
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Комсомольская  2/В,54.76616,83.091
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Комсомольская   2/Г,54.76563,83.09052
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина 2/А,54.77,83.06999
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  2/Б,54.77,83.06999
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  6/10,54.76898,83.07619
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  6/11,54.7694,83.075
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  6/13,54.76898,83.07619
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  6/14,54.76898,83.07619
1332, город Бердск улица Ленина № 13 здание МОУ «Средняя общеобразовательная школа № 10»,0,0, улица Ленина  6/16,54.76898,83.07619
