precinct_number,precinct_place,p_lat,p_lon,address,lat,lon
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Авторская,54.99201,82.7951
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Аллейная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Амбулаторная,55.07293,83.0534
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Антона Осташова,55.07025,83.04257
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Атлетическая,55.07214,83.03855
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Баскетбольная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Благодатная,44.74422,37.69353
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Виктора Звонарева,55.07134,83.04054
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Гармоничная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Георгия Чекиса,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Горнолыжная,55.06929,83.04473
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Динамичная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Достижений,55.06966,83.04648
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Евгения Глинского,55.06235,83.06029
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Ивана Маланина,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Ивана Салащенко,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Извилистая,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Защитников Отечества,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Керамическая,45.12261,41.03963
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Красноводская,55.06954,83.05426
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Летчика Петрова,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Лирическая,55.06695,82.93266
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Мелодичная,55.09324,80.93677
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Михаила Нарольского,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Музыкальная,55.06684,83.06724
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Отдыха,54.78596,83.14832
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Павла Кондратенко,55.07086,83.04159
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Памятная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Патриотическая,47.76123,39.94668
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Полякова,55.07121,83.04713
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Праздничная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Профилактическая,55.06269,83.07335
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Состязания,55.06773,83.04959
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Спринтерская,55.06823,83.04902
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Стрелковая,55.07253,83.04008
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Хороводная,0,0
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0, Чемпионская,55.06962,83.04355
1425, МКДОУ города Новосибирска «Детский сад № 509 комбинированного вида»,0,0,,55.03977,82.91017
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора № 29/1,55.04078,83.00285
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 29/2,55.04048,83.00253
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 31/2,55.03978,83.00119
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 33,55.03821,83.00106
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 33/1,55.03941,83.00191
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 33/2,55.03908,83.00223
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 33/3,55.03938,83.00263
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 35,55.03734,83.00116
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 35/1,55.03823,83.00194
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 35/2,55.03872,83.00296
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Толбухина № 2,55.04169,83.00361
1426, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Толбухина 25/1,55.04083,83.0066
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Геофизическая,55.03868,82.99834
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора № 23,55.04242,82.99928
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 23/1,55.04214,83.00025
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 25,55.04098,82.99941
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 25/1,55.04185,82.99979
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 27,55.04099,82.99948
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 29,55.04066,82.99995
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 31,55.03879,83.00039
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 31/1,55.03978,83.00119
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 34,55.03821,83.00106
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Доватора 52 even to end,0,0
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Национальная  95 odd to end,0,0
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Национальная  94 even to end,0,0
1427, МБОУ города Новосибирска «Средняя общеобразовательная школа № 59»,0,0, Суркова,55.03879,82.9972
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева № 8,55.06696,82.9714
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 10,55.06711,82.97172
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 12,55.0673,82.97173
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 1,55.0662,82.96862
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 3,55.06659,82.96931
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 5,55.06699,82.97017
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 7,55.06727,82.97107
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Лазарева 9,55.06754,82.97174
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская № 13,55.06633,82.96756
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 15,55.06684,82.96866
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная № 54,55.06677,82.96695
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная 54/1,55.06743,82.96785
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная 56,55.06697,82.96664
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная 56/1,55.06766,82.96754
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная 58,55.06758,82.96584
1430, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная 58/1,55.06788,82.96722
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская № 1,55.06434,82.96192
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 1а,55.06488,82.96083
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 3,55.06481,82.96305
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 3а,55.06488,82.96083
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 5,55.06507,82.96362
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 5а,55.06518,82.96162
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 7,55.06574,82.96364
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 7а,55.06572,82.96285
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 9,55.06567,82.96491
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 9а,55.06572,82.96285
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 11,55.06552,82.9659
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 11/1,55.06612,82.96373
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Республиканская 11а,55.06612,82.96372
1431, МБОУ города Новосибирска «Средняя общеобразовательная школа № 153»,0,0, Трикотажная № 49,55.06647,82.96465
