precinct_number,precinct_place,p_lat,p_lon,address,lat,lon
,,,,  города Оби Новосибирской области,0,0
,,,,  города Оби Новосибирской области,0,0
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица  - Береговая,54.75004,83.06586
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -  14/1,54.76522,83.10944
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   14/2,54.76522,83.10944
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   14а,54.76522,83.10944
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   14б,54.76522,83.10944
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   15,54.76552,83.109
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   16а,54.76557,83.10892
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   16б,54.76557,83.10892
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   48,54.76277,83.11307
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица Вокзальная -   68,54.75611,83.12288
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица  Крылова,59.41748,56.85101
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица  Станционная,54.74142,83.17824
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, улица  2-й км.,54.74604,83.07946
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, переулок Переулки - Байдукова,0,0
1408, Новосибирская область город Обь ул. Вокзальная здание 48 (помещение общежития.,54.98944,82.72936, переулок Переулки -  Береговой.,0,0
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица  - Байдукова,53.2256,45.00563
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме  14/1,54.76522,83.10944
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   14/2,54.76522,83.10944
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   14а,54.76522,83.10944
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   14б,54.76522,83.10944
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   15,54.76552,83.109
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   16а,54.76557,83.10892
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   16б,54.76557,83.10892
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   48,54.76277,83.11307
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица Вокзальная (кроме   68),54.75611,83.12288
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица  Линейная,54.77036,83.07907
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица  Л. Толстого (кроме  66),0,0
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица  Огородная,53.20881,45.02012
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, улица  О. Кошевого.,54.75932,83.09755
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, переулок Переулки - Водопроводный,0,0
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, переулок  Планировочный,0,0
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, переулок  Полевой,53.95536,58.40789
1409, Новосибирская область город Обь ул. О. Кошевого здание 30а.,54.98779,82.72028, переулок  Усадебный.,50.68837,36.56469
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  - Железнодорожная,54.78965,83.08219
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Калинина,54.7641,83.11584
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица Л. Толстого,54.75606,83.0707
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица Л.   66,0,0
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица М. Горького нечетная с  1 по  33,0,0
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Октябрьская,54.74914,83.06819
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица    10,54.72089,83.08628
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Покрышкина,55.72465,86.31565
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Пролетарская,54.75537,83.06711
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Чехова (кроме  52),54.74821,83.10511
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Энергетиков.,50.629,36.66075
1410, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, переулок Переулки - Школьный.,54.80306,83.0917
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  - Кирова,54.75316,83.11305
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица М. Горького (кроме нечетной с  1 по  33),0,0
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Октябрьская (кроме  10),54.75096,83.06646
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Садовая,54.73359,83.05279
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Строительная,54.807,83.09384
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Шевченко,54.8027,83.10012
1411, Новосибирская область город Обь ул. Шевченко здание 11а Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 26».,0,0, улица  Чехова  52.,54.74821,83.10511
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  - Большая,54.74535,83.04716
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Весенняя,54.7369,83.16747
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Вишневая,54.74773,83.04173
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  10,54.74214,83.10468
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   10/1,54.74214,83.10468
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   12,54.74234,83.10412
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   14,54.74208,83.10348
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   16,54.7420901,83.1034898
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   42,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   44,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   46,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   48,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   69,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  71,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  72,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  73,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  74,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  75,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   77,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   79,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   81,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   83,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   85,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -  85 А,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   87,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   89,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   89/2,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   91,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   92,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   93,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   96,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   98,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   100,54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Геодезическая -   111),54.7437777,83.1051062
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Изумрудная,54.72556,83.06392
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Каштановая,53.24541,45.00224
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Красивая,54.71391,83.08034
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Летняя,54.78762,83.07542
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Лунная,54.74783,83.05542
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Молодёжная,57.93393,50.74635
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Обская,54.74601,83.10995
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Радости,0,0
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Рабочая,54.75091,83.07034
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Российская,53.17032,44.9799
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Рубиновая,54.73811,83.17003
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Светлая,54.74359,83.10282
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Серебряная,53.29388,83.59315
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -  2,54.73866,83.16134
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -   2/1,54.73866,83.16134
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -   2/2,54.73866,83.16134
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -   6,54.73887,83.16197
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -   8,54.73902,83.16244
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -   11,54.74001,83.1636
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица Степная -   21,54.74025,83.16547
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Тенистая,54.73886,83.16994
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Цветочная,53.1676,45.11462
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, улица  Южная.,52.43544,82.24595
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок Переулки - Березовый,0,0
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок  Дачный,53.17299,45.10712
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок  Снежный,0,0
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок  Солнечный,54.7588,83.09868
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок  Тихий,59.4183,56.84998
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок  Хороший,53.21443,44.93572
1412, методического обеспечения в сфере образования» города Оби Новосибирской области.,0,0, переулок  Янтарный.,53.35033,83.55305
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица - Геодезическая с  1 по  5,54.74316,83.10464
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица  6а,54.74535,83.04716
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица  6б,54.74535,83.04716
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица  7,54.71882,83.0819
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица  7а,54.74535,83.04716
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица  7б,54.74535,83.04716
1413, Новосибирская область город Обь ул. Геодезическая 25 Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа № 2».,0,0, улица  7в,54.74535,83.04716
